,Exchange,Coin,Pair,Volume
514,Hitbtc,Segwit2x,B2X/USDT,"249,323"
515,Binance,Selfkey,KEY/BTC,"1,733,555"
516,Okex,Selfsell,SSC/BTC,"78,381"
517,Hitbtc,Sentinel,SENT/BTC,"203,648"
518,Bittrex,Sequence,SEQ/BTC,"1,957"
519,Hitbtc,Sether,SETH/BTC,"1,794"
520,Bittrex,Shift,SHIFT/BTC,"3,311"
521,Hitbtc,Shipchain,SHIP/BTC,"1,642"
522,Kucoin,Shivom,OMX/BTC,"4,218"
523,Okex,Show,SHOW/USDT,"32,722"
524,Hitbtc,Showhand,HAND/USDT,"2,109"
525,Binance,Siacoin,SC/BTC,"399,027"
526,Bittrex,Sibcoin,SIB/BTC,"3,012"
527,Binance,Singulardtv,SNGLS/BTC,"937,415"
528,Binance,Singularitynet,AGI/BTC,"134,247"
529,Bittrex,Sirin labs token,SRN/BTC,"216,255"
530,Okex,Six domain chain,SDA/BTC,"15,721"
531,Hitbtc,Skincoin,SKIN/BTC,38
532,Binance,Skycoin,SKY/BTC,"251,005"
533,Hitbtc,Smartcash,SMART/USDT,"420,283"
534,Hitbtc,Smartmesh,SMT/BTC,0
535,Kucoin,Snovio,SNOV/BTC,"16,382"
536,Hitbtc,Sociall,SCL/BTC,"19,091"
537,Bittrex,Solarcoin,SLR/BTC,"18,214"
538,Kucoin,Solaris,XLR/BTC,"2,812"
539,Binance,Sonm,SNM/BTC,"163,796"
540,Kucoin,Sophiatx,SPHTX/BTC,"21,339"
541,Hitbtc,Spacechain,SPC/BTC,10
542,Hitbtc,Spectiv,SIG/BTC,76
543,Hitbtc,Speed mining service,SMS/USDT,125
544,Bittrex,Sphere,SPHR/BTC,"10,871"
545,Hitbtc,Spindle,SPD/BTC,"43,954"
546,Okex,Sportyco,SPF/BTC,"23,211"
547,Bittrex,Spreadcoin,SPR/BTC,"2,546"
548,Okex,Starchain,STC/USDT,"66,781"
549,Hitbtc,Stasis eurs,EURS/USDT,"51,791"
550,Binance,Status,SNT/BTC,"847,653"
551,Bittrex,Stealth,XST/BTC,450
552,Binance,Steem,STEEM/BTC,"218,737"
553,Bittrex,Steem dollars,SBD/BTC,"41,985"
554,Binance,Stellar,XLM/BTC,"11,389,705"
555,Kucoin,Stk,STK/BTC,181
556,Hitbtc,Stockchain,SCC/BTC,"151,856"
557,Hitbtc,Storiqa,STQ/BTC,"21,912"
558,Okex,Storj,STORJ/BTC,"130,327"
559,Binance,Storm,STORM/BTC,"268,721"
560,Hitbtc,Stox,STX/USDT,"283,214"
561,Hitbtc,Straks,STAK/BTC,78
562,Binance,Stratis,STRAT/BTC,"234,304"
563,Binance,Streamr datacoin,DATA/BTC,"824,713"
564,Binance,Substratum,SUB/BTC,"268,959"
565,Okex,Suncontract,SNC/BTC,"86,186"
566,Okex,Super bitcoin,SBTC/BTC,"21,380"
567,Hitbtc,Suretly,SUR/BTC,0
568,Hitbtc,Swarm,SWM/BTC,"43,506"
569,Bittrex,Swarm city,SWT/BTC,"5,343"
570,Okex,Swftcoin,SWFTC/BTC,"141,135"
571,Hitbtc,Swissborg,CHSB/BTC,"46,515"
572,Bittrex,Syndicate,SYNX/BTC,"15,151"
573,Bittrex,Synereo,AMP/BTC,"6,467"
574,Binance,Syscoin,SYS/BTC,"81,335"
575,Hitbtc,Taas,TAAS/BTC,272
576,Hitbtc,Target coin,TGT/BTC,107
577,Hitbtc,Tatatu,TTU/BTC,"69,344"
578,Kucoin,Te-food,TFD/BTC,"16,832"
579,Kucoin,Telcoin,TEL/BTC,"31,407"
580,Okex,Tenx,PAY/BTC,"1,079,297"
581,Bitfinex,Tether,USDT/USD,"57,099,260"
582,Hitbtc,Tezos,XTZ/USDT,"814,232"
583,Hitbtc,The abyss,ABYSS/BTC,"6,099"
584,Kucoin,Thekey,TKY/BTC,"38,483"
585,Hitbtc,Themis,GET/BTC,0
586,Binance,Theta token,THETA/BTC,"631,942"
587,Hitbtc,Tierion,TNT/USDT,"136,792"
588,Binance,Time new bank,TNB/BTC,"96,073"
589,Hitbtc,Tokencard,TKN/BTC,32
590,Okex,Tokenclub,TCT/USDT,"34,098"
591,Hitbtc,Tokendesk,TDS/BTC,"2,557"
592,Bittrex,Tokes,TKS/BTC,"1,236"
593,Hitbtc,Tokia,TKA/USDT,"227,221"
594,Kucoin,Tomochain,TOMO/BTC,"5,682"
595,Okex,Topchain,TOPC/USDT,"37,379"
596,Okex,Trade token,TIO/BTC,"5,173"
597,Hitbtc,Tradove b2bcoin,BBC/BTC,"30,017"
598,Bittrex,Transfercoin,TX/BTC,"9,100"
599,Kucoin,Traxia,TMT/BTC,"86,458"
600,Binance,Triggers,TRIG/BTC,"61,785"
601,Kucoin,Trinity network credit,TNC/BTC,"14,754"
602,Okex,Tripio,TRIO/USDT,"89,835"
603,Binance,Tron,TRX/USDT,"12,736,076"
604,Okex,Truechain,TRUE/BTC,"22,456,824"
605,Kucoin,Trueflip,TFL/BTC,"193,842"
606,Binance,Trueusd,TUSD/USDT,"5,548,329"
607,Bittrex,Trustplus,TRUST/BTC,"2,299"
608,Hitbtc,U network,UUU/BTC,622
609,Bittrex,Ubiq,UBQ/BTC,"179,743"
610,Okex,Ubique chain of things,UCT/BTC,"56,425"
611,Okex,Ugchain,UGC/USDT,"274,728"
612,Bittrex,Unbreakablecoin,UNB/BTC,"2,035"
613,Bittrex,Unikoin gold,UKG/BTC,"16,918"
614,Okex,United bitcoin,UBTC/BTC,"3,211"
615,Hitbtc,United traders token,UTT/BTC,"3,697"
616,Bittrex,Uptoken,UP/BTC,"153,846"
617,Kucoin,Utrust,UTK/BTC,"9,524"
618,Binance,Vechain,VET/USDT,"16,975,746"
619,Binance,Verge,XVG/BTC,"765,435"
620,Bittrex,Vericoin,VRC/BTC,"368,055"
621,Hitbtc,Veritaseum,VERI/BTC,"36,246"
622,Bittrex,Veriumreserve,VRM/BTC,"4,184"
623,Bittrex,Vertcoin,VTC/BTC,"41,930"
624,Binance,Viacoin,VIA/BTC,"142,740"
625,Binance,Vibe,VIBE/BTC,"91,051"
626,Binance,Viberate,VIB/BTC,"655,644"
627,Hitbtc,Vice industry token,VIT/BTC,"4,237"
628,Okex,Vite,VITE/BTC,"488,404"
629,Okex,Viuly,VIU/BTC,"1,904"
630,Hitbtc,Voise,VOISE/BTC,134
631,Hitbtc,Vouchforme,IPL/BTC,"232,310"
632,Binance,Wabi,WABI/BTC,"645,048"
633,Binance,Waltonchain,WTC/BTC,"1,296,381"
634,Binance,Wanchain,WAN/BTC,"1,776,725"
635,Binance,Waves,WAVES/BTC,"328,849"
636,Bittrex,Wax,WAX/BTC,"186,437"
637,Binance,Wepower,WPR/BTC,"75,116"
638,Hitbtc,Wetrust,TRST/BTC,547
639,Bittrex,Whitecoin,XWC/BTC,"1,954"
640,Hitbtc,Wiki token,WIKI/USDT,"275,365"
641,Hitbtc,Wild crypto,WILD/BTC,27
642,Binance,Wings,WINGS/BTC,"225,412"
643,Okex,Worldcore,WRC/BTC,"1,191"
644,Hitbtc,Xaurum,XAUR/BTC,"5,911"
645,Binance,Xrp,XRP/BTC,"17,877,744"
646,Okex,Yee,YEE/USDT,"13,611"
647,Okex,You coin,YOU/BTC,"14,354"
648,Binance,Yoyow,YOYO/BTC,"1,695,147"
649,Hitbtc,Yuan chain coin,YCC/BTC,281
650,Hitbtc,Zap,ZAP/BTC,"7,230"
651,Hitbtc,Zcash,ZEC/BTC,"3,434,054"
652,Bittrex,Zclassic,ZCL/BTC,"402,733"
653,Binance,Zcoin,XZC/BTC,"1,326,255"
654,Okex,Zebi,ZCO/BTC,"129,674"
655,Kucoin,Zeepin,ZPT/BTC,"28,145"
656,Binance,Zencash,ZEN/BTC,"268,328"
657,Hitbtc,Zeusshield,ZSC/USDT,1
658,Binance,Zilliqa,ZIL/BTC,"3,584,403"
659,Kucoin,Zinc,ZINC/BTC,"2,367"
660,Okex,Zipper,ZIP/BTC,"951,487"
661,Hitbtc,Zrcoin,ZRC/BTC,"94,242"
