,Exchange,Coin,Pair,Volume
565,Okex,Swftcoin,SWFTC/BTC,141135
566,Hitbtc,Swissborg,CHSB/BTC,46515
567,Bittrex,Syndicate,SYNX/BTC,15151
568,Bittrex,Synereo,AMP/BTC,6467
569,Binance,Syscoin,SYS/BTC,81335
570,Hitbtc,Taas,TAAS/BTC,272
571,Hitbtc,Target coin,TGT/BTC,107
572,Hitbtc,Tatatu,TTU/BTC,69344
573,Kucoin,Te-food,TFD/BTC,16832
574,Kucoin,Telcoin,TEL/BTC,31407
575,Okex,Tenx,PAY/BTC,1079297
576,Hitbtc,Tezos,XTZ/BTC,281773
577,Hitbtc,The abyss,ABYSS/BTC,6099
578,Kucoin,Thekey,TKY/BTC,38483
579,Hitbtc,Themis,GET/BTC,0
580,Binance,Theta token,THETA/BTC,631942
581,Binance,Tierion,TNT/BTC,28803
582,Binance,Time new bank,TNB/BTC,96073
583,Hitbtc,Tokencard,TKN/BTC,32
584,Okex,Tokenclub,TCT/BTC,12773
585,Hitbtc,Tokendesk,TDS/BTC,2557
586,Bittrex,Tokes,TKS/BTC,1236
587,Hitbtc,Tokia,TKA/BTC,1053
588,Kucoin,Tomochain,TOMO/BTC,5682
589,Okex,Topchain,TOPC/BTC,15723
590,Okex,Trade token,TIO/BTC,5173
591,Hitbtc,Tradove b2bcoin,BBC/BTC,30017
592,Bittrex,Transfercoin,TX/BTC,9100
593,Kucoin,Traxia,TMT/BTC,86458
594,Binance,Triggers,TRIG/BTC,61785
595,Kucoin,Trinity network credit,TNC/BTC,14754
596,Okex,Tripio,TRIO/BTC,49904
597,Binance,Tron,TRX/BTC,10123017
598,Okex,Truechain,TRUE/BTC,22456824
599,Kucoin,Trueflip,TFL/BTC,193842
600,Binance,Trueusd,TUSD/BTC,2762972
601,Bittrex,Trustplus,TRUST/BTC,2299
602,Hitbtc,U network,UUU/BTC,622
603,Bittrex,Ubiq,UBQ/BTC,179743
604,Okex,Ubique chain of things,UCT/BTC,56425
605,Okex,Ugchain,UGC/BTC,132050
606,Bittrex,Unbreakablecoin,UNB/BTC,2035
607,Bittrex,Unikoin gold,UKG/BTC,16918
608,Okex,United bitcoin,UBTC/BTC,3211
609,Hitbtc,United traders token,UTT/BTC,3697
610,Bittrex,Uptoken,UP/BTC,153846
611,Kucoin,Utrust,UTK/BTC,9524
612,Binance,Vechain,VET/BTC,15192152
613,Binance,Verge,XVG/BTC,765435
614,Bittrex,Vericoin,VRC/BTC,368055
615,Hitbtc,Veritaseum,VERI/BTC,36246
616,Bittrex,Veriumreserve,VRM/BTC,4184
617,Bittrex,Vertcoin,VTC/BTC,41930
618,Binance,Viacoin,VIA/BTC,142740
619,Binance,Vibe,VIBE/BTC,91051
620,Binance,Viberate,VIB/BTC,655644
621,Hitbtc,Vice industry token,VIT/BTC,4237
622,Okex,Vite,VITE/BTC,488404
623,Okex,Viuly,VIU/BTC,1904
624,Hitbtc,Voise,VOISE/BTC,134
625,Hitbtc,Vouchforme,IPL/BTC,232310
626,Binance,Wabi,WABI/BTC,645048
627,Binance,Waltonchain,WTC/BTC,1296381
628,Binance,Wanchain,WAN/BTC,1776725
629,Binance,Waves,WAVES/BTC,328849
630,Bittrex,Wax,WAX/BTC,186437
631,Binance,Wepower,WPR/BTC,75116
632,Hitbtc,Wetrust,TRST/BTC,547
633,Bittrex,Whitecoin,XWC/BTC,1954
634,Hitbtc,Wild crypto,WILD/BTC,27
635,Binance,Wings,WINGS/BTC,225412
636,Okex,Worldcore,WRC/BTC,1191
637,Hitbtc,Xaurum,XAUR/BTC,5911
638,Binance,Xrp,XRP/BTC,17877744
639,Okex,Yee,YEE/BTC,9387
640,Okex,You coin,YOU/BTC,14354
641,Binance,Yoyow,YOYO/BTC,1695147
642,Hitbtc,Yuan chain coin,YCC/BTC,281
643,Hitbtc,Zap,ZAP/BTC,7230
644,Hitbtc,Zcash,ZEC/BTC,3434054
645,Bittrex,Zclassic,ZCL/BTC,402733
646,Binance,Zcoin,XZC/BTC,1326255
647,Okex,Zebi,ZCO/BTC,129674
648,Kucoin,Zeepin,ZPT/BTC,28145
649,Binance,Zencash,ZEN/BTC,268328
650,Hitbtc,Zeusshield,ZSC/BTC,0
651,Binance,Zilliqa,ZIL/BTC,3584403
652,Kucoin,Zinc,ZINC/BTC,2367
653,Okex,Zipper,ZIP/BTC,951487
654,Hitbtc,Zrcoin,ZRC/BTC,94242
